,Product Name ,Product Cost,Link,Product_Img_Link,HighLight,Description,Specification,feedback ,seller
535,Biotique Advanced Organics Banana Deeply Nourishing Shampoo 300Ml  (300 ml),₹250,https://www.flipkart.com/biotique-advanced-organics-banana-deeply-nourishing-shampoo-300ml/p/itmbe9d19975583c?pid=SMPFW42WU4VSVMN3&lid=LSTSMPFW42WU4VSVMN3G7ACGT&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_496&otracker=search&otracker1=search&fm=organic&iid=5d2637f3-aa75-40d9-aa5f-b3061e3a539c.SMPFW42WU4VSVMN3.SEARCH&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/kjlrb0w0-0/shampoo/v/t/f/banana-deeply-nourishing-shampoo-300ml-biotique-advanced-original-imafz59ysc6xeswb.jpeg?q=70,Daily Care Shampoo Ideal For: Men & Women Suitable For: All Hair Types,"Intensely nourishes as it gently washes away all impurities to leave hair fresh, smooth, strong and shining.","Applied For	Daily Care
Hair Type	All Hair Types
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1","Highly disappointed from biotique....it's written deeply nourishing but it should be "" deeply disappointing "" :- Ok but little bit thoda dry :- Mild shampoo which leaves my hair silky n smooth. My favorite shampoo for the past 2 years",OptimVRcommerce4.8
536,"Meera Hairfall Care Shampoo,Goodness Of Badam & Shikakai,Paraben Free  (340 ml)",₹240,https://www.flipkart.com/meera-hairfall-care-shampoo-goodness-badam-shikakai-paraben-free/p/itmcaea08f66c311?pid=SMPFTHXQCSJJGGBT&lid=LSTSMPFTHXQCSJJGGBTBMP4R0&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_497&otracker=search&otracker1=search&fm=organic&iid=en_9Qq6ZXI7ykoGx%2Bn%2BvFMlapg82hNelD7GNjEfCBeOMC%2BEYQJOJCbjfoMSsu0p%2F5R8NsF8F%2BtPqAAYC0u9i5SOUA%3D%3D&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/g/t/f/-original-imagq9znys7j2guf.jpeg?q=70,Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Shikakai and Almonds,No Description,"Applied For	Anti-hair Fall
Hair Type	All Hair Types
Composition	Shikakai and Almonds
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	India",It's a amazing product I use it always there is no side effects I recommend you all that this product is suitable for all types of hair! And thank you so much flip kart :- Nice quality :- Good product,OptimVRcommerce4.8
537,WOW SKIN SCIENCE Onion Shampoo for Hair Growth and Hair Fall Control  (300 ml),₹299,https://www.flipkart.com/wow-skin-science-onion-shampoo-hair-growth-fall-control/p/itm2cce4a237c884?pid=SMPFKVGHRMZMP7J3&lid=LSTSMPFKVGHRMZMP7J3LEYW1O&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_498&otracker=search&otracker1=search&fm=organic&iid=en_9Qq6ZXI7ykoGx%2Bn%2BvFMlapg82hNelD7GNjEfCBeOMC%2BAX6vfjf%2B6I%2BvL2qj4BGQOzFsfEeH274Wo3QQ%2FqabueQ%3D%3D&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/4/u/v/-original-imagnkryfgwxjvnc.jpeg?q=70,"Nourishment & Moisturization, Damage Repair, Scalp Cleansing, Anti-hair Fall, Anti-dandruff, Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Red onion extract and black seed oil",No Description,"Applied For	Nourishment & Moisturization, Damage Repair, Scalp Cleansing, Anti-hair Fall, Anti-dandruff, Straightening & Smoothening
Hair Type	All Hair Types
Composition	Red onion extract and black seed oil
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	India","It's really a sulphate free hair friendly product..!! As there is no Sulphates the lather formation will be of course poor.. So keep that in mind.. Question is do you want lather at the cost of your Baldness or Good strong hair without lather formation..I want to clarify it more properly.. Lather formation occurs on 3rd wash..!!Steps to follow:take a small mug type thing in which you can dilute your (5-6times pressed out amount for men) shampoo in that mug with Warm or hot water of gyser..... :- Pretty damn good shaampoo. Doesn't leave the hair sticky or too dry. Good fragrance. No unwanted chemicals used making it safer to use. Usually while getting up in morning my hair used to sticky/tangled conditions but used this at night the next it was amazing.Would really recommend the products of WOW to anyone.And thanks to Flipkart for having such great products and delivering those with great packaging and on time... :- Product is quite good, but fragrance is not as good as the apple cider vinegar one which i had previously used but that's good.It does it's work well, hair becomes shiny and smooth.Will give more details after long time use.",BodyCupid4.5
538,ARATA Super Shampoo with Onion Oil | Prevents Hair Fall & Thinning | SLS Free  (300 ml),₹494,https://www.flipkart.com/arata-super-shampoo-onion-oil-prevents-hair-fall-thinning-sls-free/p/itm5f1cc1f1abdc8?pid=SMPFY6DZDDGNJHUE&lid=LSTSMPFY6DZDDGNJHUEI3UX9B&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_499&otracker=search&otracker1=search&fm=organic&iid=5d2637f3-aa75-40d9-aa5f-b3061e3a539c.SMPFY6DZDDGNJHUE.SEARCH&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/e/n/w/300-super-shampoo-with-onion-oil-prevents-hair-fall-thinning-sls-original-imagqfu57x9gewtg.jpeg?q=70,"Damage Repair, Frizz Control, Split-ends, Hair Volumizing, Scalp Cleansing, Anti-hair Fall, Daily Care, Dryness Care Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: With Onion oil , Argan oil and apple cider vinegar","A soothing, nourishing shampoo, formulated with onion oil, argan oil, and apple cider vinegar, each of which offer therapeutic benefits when it comes to preventing hair loss. This refreshing combination of extracts boosts the natural circulation of your scalp, while moisturizing and repairing dry, damaged hair. Gently cleanses and nourishes your hair without stripping your scalp of its natural oils, and provides a powerhouse of nourishment to your strands.","Applied For	Damage Repair, Frizz Control, Split-ends, Hair Volumizing, Scalp Cleansing, Anti-hair Fall, Daily Care, Dryness Care
Hair Type	All Hair Types
Composition	With Onion oil , Argan oil and apple cider vinegar
Container Type	Dispenser
Ideal For	Men & Women
pack_of	1
Country of Origin	India","Arata Super Shampoo for regenerating is one of the best products I’ve used for my hair to date. I’ve used it twice ever since it arrived and I feel the difference already. Besides, the slight fragrance and the beautiful Arata bottles only add to the pleasant experience. Best product. :- I was having itchy scapl and this has solved my problem. The shampoo cleans hair very nicely and i am super glad that i tried this variant. The essential oils prevents my hair getting frizzy when it dries. And for me a coin size amount is enough to wash medium length hair. One thing is i should have bought conditioner also as i only got shampoo this time. maybe next time will buy in a pair. :- My hair feels so good and amazing after using this, also it's very effective with dandruff, I can't believe that it worked so well, this us best shampoo so far.",Arata4.3
539,Lever Ayush Anti Hairfall Bhringraj Shampoo  (330 ml),₹229,https://www.flipkart.com/lever-ayush-anti-hairfall-bhringraj-shampoo/p/itmf53m6zxge3nrv?pid=SMPF53M6G9KC2ZWM&lid=LSTSMPF53M6G9KC2ZWMFIGN25&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_500&otracker=search&otracker1=search&fm=organic&iid=5d2637f3-aa75-40d9-aa5f-b3061e3a539c.SMPF53M6G9KC2ZWM.SEARCH&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/jhjg13k0/shampoo/z/w/m/330-anti-hairfall-bhringraj-shampoo-lever-ayush-original-imaf5cx8tnpaxgje.jpeg?q=70,"Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Bhringaraj, Bhringamalakadi Tailam",No Description,"Applied For	Anti-hair Fall
Hair Type	All Hair Types
Composition	Bhringaraj, Bhringamalakadi Tailam
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1","nice product... my hair became more soft and silky... and I also loved the packaging made by flipkart.... there was no chance of leakaging :- I've been using this shampoo for a year now. It really works well to control hair fall. It also keeps my hair shining till 2-3 days post hair wash. It smells so good as well. The contents that are in the list are even Ayurvedic. I've changed my shampoo few times, as this wasn't available then. I witnessed a lot of hairfall, hair getting dry, smell wasn't as good as this one. So with all these factors this shampoo pulled me back towards itself and now I'm not gonna switch shampoos. My hair typ... :- Not to worry guys this shampoo is just a magical shampoo that I ever found. Really it reduces hair fall after one wash and after some time of use it just stops the problem of hairfall.",SuperComNet4.7
540,"Nyle Naturals Damage Repair Shampoo, With Goodness Of Shikakai And Hibiscus, 400ml  (400 ml)",₹127,https://www.flipkart.com/nyle-naturals-damage-repair-shampoo-goodness-shikakai-hibiscus-400ml/p/itmc252d5ce29136?pid=SMPG9CJKCBMFJGBG&lid=LSTSMPG9CJKCBMFJGBGLOLLTH&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_501&otracker=search&otracker1=search&fm=organic&iid=en_9Qq6ZXI7ykoGx%2Bn%2BvFMlapg82hNelD7GNjEfCBeOMC%2B25AZA6E%2Bi5Lw7MtF96bcwAZdVUvlRPjwcHyYwFKRQNA%3D%3D&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/kwqq1zk0/shampoo/x/6/h/800-naturals-damage-repair-shampoo-with-goodness-of-shikakai-and-original-imag9cjhah4fvvkq.jpeg?q=70,"Damage Repair Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Water, Sodium Laureth Sulfate, Cocamidopropylbetaine, Cocamide Mea, Peg-40 Hydrogenated Castor Oil , Peg-7 Glyceryl Cocoate , Peg/Ppg-120/10 Trimethylolpropane Trioleate , Glycerin, Carica Papaya (Papaya) Extract, Hibiscus Rosa-Sinensis (Hibiscus) Extract, Phyllanthus Emblica (Amla) Extract, Acacia Concinna (Shikakai) Extract, Fragrance, Polyquaternium-10, Guar Hydroxypropyltrimonium Chloride, Benzyl Alcohol, Sodium Chloride, Disodium Edta, Citric Acid, Methylchloroisothiazolinone , Methylisothiazolinone, Bht, Sodium Benzotriazolyl Butylphenol Sulfonate, Buteth-3, Tributyl Citrate, Ci 15510.",No Description,"Applied For	Damage Repair
Hair Type	All Hair Types
Composition	Water, Sodium Laureth Sulfate, Cocamidopropylbetaine, Cocamide Mea, Peg-40 Hydrogenated Castor Oil , Peg-7 Glyceryl Cocoate , Peg/Ppg-120/10 Trimethylolpropane Trioleate , Glycerin, Carica Papaya (Papaya) Extract, Hibiscus Rosa-Sinensis (Hibiscus) Extract, Phyllanthus Emblica (Amla) Extract, Acacia Concinna (Shikakai) Extract, Fragrance, Polyquaternium-10, Guar Hydroxypropyltrimonium Chloride, Benzyl Alcohol, Sodium Chloride, Disodium Edta, Citric Acid, Methylchloroisothiazolinone , Methylisothiazolinone, Bht, Sodium Benzotriazolyl Butylphenol Sulfonate, Buteth-3, Tributyl Citrate, Ci 15510.
Container Type	Dispenser
Ideal For	Men & Women
pack_of	1
Country of Origin	India",Good shampooo :- Nice product after 1use my hair so soft :- Good,OptimVRcommerce4.8
541,"Meera Strong & Healthy Shampoo,With Kunkudukai & Badam,Unisex,Paraben Free  (650 ml)",₹524,https://www.flipkart.com/meera-strong-healthy-shampoo-with-kunkudukai-badam-unisex-paraben-free/p/itmc865883091e60?pid=SMPFEVRZFAYXVKQH&lid=LSTSMPFEVRZFAYXVKQH7EKOYL&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_502&otracker=search&otracker1=search&fm=organic&iid=en_9Qq6ZXI7ykoGx%2Bn%2BvFMlapg82hNelD7GNjEfCBeOMC%2FkyWlBgEvyPFN117OgAiHy7YEvRz12fqtL%2BtmC4rnm4Q%3D%3D&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/6/4/v/-original-imagq9zfgzyysvhs.jpeg?q=70,Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Kunkudukai and Almonds,No Description,"Applied For	Straightening & Smoothening
Hair Type	All Hair Types
Composition	Kunkudukai and Almonds
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1","Delivered at time, and I like the shampoo :- Thank you . :- Wow very fast delivery 🤩🤩😍😍👍👍👍👍 thank you Flipkart workers ❤️❤️❤️❤️💕💕💕💕💕💕💕",OptimVRcommerce4.8
542,Mildy AHF Shampoo For Anti Hair Fall Shampoo  (100 ml),₹330,https://www.flipkart.com/mildy-ahf-shampoo-anti-hair-fall/p/itm4ddb6752747e3?pid=SMPFXXHYYME7D7HC&lid=LSTSMPFXXHYYME7D7HC1LKQP5&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_503&otracker=search&otracker1=search&fm=organic&iid=5d2637f3-aa75-40d9-aa5f-b3061e3a539c.SMPFXXHYYME7D7HC.SEARCH&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/ki214sw0-0/shampoo/n/h/g/100-ahf-shampoo-for-anti-hair-fall-shampoo-mildy-original-imafxxhxnfgk29sa.jpeg?q=70,"Anti-hair Fall, Daily Care, Deep Conditioning, Hair Shine, Nourishment & Moisturization Shampoo Ideal For: Men & Women Suitable For: All Hair Types",Mildy AHF Anti Hair Fall Shampoo is a combination of ingredients that are brought together to help prevent hair fall as well as to increase hair growth. It stimulates the hair follicles for the hair to grow and can be used on a daily basis due to the use of natural ingredients.,"Applied For	Anti-hair Fall, Daily Care, Deep Conditioning, Hair Shine, Nourishment & Moisturization
Hair Type	All Hair Types
Container Type	Tube
Ideal For	Men & Women
pack_of	1",Awesome product,TheDreamDeal4.1
543,OZONE Semop Hair Cleanser Shampoo 300Ml | Pack of 5  (1500 ml),₹696,https://www.flipkart.com/ozone-semop-hair-cleanser-shampoo-300ml-pack-5/p/itm7fa6812bc4fcb?pid=SMPGC8ZHXAMGWVDT&lid=LSTSMPGC8ZHXAMGWVDTIEZ3ZI&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_504&otracker=search&otracker1=search&fm=organic&iid=5d2637f3-aa75-40d9-aa5f-b3061e3a539c.SMPGC8ZHXAMGWVDT.SEARCH&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/kxqg2a80/shampoo/a/x/7/1500-semop-hair-cleanser-shampoo-300ml-pack-of-5-ozone-original-imaga4c6mwh3bpf7.jpeg?q=70,"Damage Repair, Straightening & Smoothening, Restore & Renew, Frizz Control, Anti-dandruff, Scalp Cleansing, Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: shikakai, Amla, Reetha, Methi, Arnica","Herbal treated and holistically prepared Semop Ayurvedic Shampoo is gentler to your hair and makes it shine bright and shine long. It is aesthetically designed to exhibit deep nourishing properties upon application, making it the best bet among the chemical-prone shampoo variant available in the market. Use Semop Ayurvedic Shampoo to reap the maximum benefit of herbs and Ayurveda.","Applied For	Damage Repair, Straightening & Smoothening, Restore & Renew, Frizz Control, Anti-dandruff, Scalp Cleansing, Anti-hair Fall
Hair Type	All Hair Types
Composition	shikakai, Amla, Reetha, Methi, Arnica
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	5
Country of Origin	India",Velu for mony :- Shampoo is good and has good fragrance. It makes hair silky and feels really good after using this shampoo :- Nice shampoo,OZONE PHARMACEUTICALS 4.9
544,look hair Onion Shampoo  (300 ml),₹248,https://www.flipkart.com/look-hair-onion-shampoo/p/itm1ff91aee877d4?pid=SMPG28ZCUCCJP6VR&lid=LSTSMPG28ZCUCCJP6VRYAQW8L&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_505&otracker=search&otracker1=search&fm=organic&iid=5d2637f3-aa75-40d9-aa5f-b3061e3a539c.SMPG28ZCUCCJP6VR.SEARCH&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/knknc7k0/combo-kit/d/k/z/onion-hair-oil-and-onion-hair-shampoo-200ml-300ml-dcvo2-look-original-imag27uq5spfyuj4.jpeg?q=70,"Damage Repair, Deep Conditioning, Daily Care, Dryness Care, Anti-hair Fall, Split-ends, Nourishment & Moisturization, Scalp Cleansing, Anti-dandruff, Frizz Control, Color Protection, Hair Volumizing, Hair Shine, Straightening & Smoothening, Restore & Renew Shampoo Ideal For: Men & Women Suitable For: All Hair Types",No Description,"Applied For	Damage Repair, Deep Conditioning, Daily Care, Dryness Care, Anti-hair Fall, Split-ends, Nourishment & Moisturization, Scalp Cleansing, Anti-dandruff, Frizz Control, Color Protection, Hair Volumizing, Hair Shine, Straightening & Smoothening, Restore & Renew
Hair Type	All Hair Types
Ideal For	Men & Women
pack_of	1
Country of Origin	india",,LONGWAYTREASURE4.3
545,"WishCare Fermented Rice Water Shampoo - Strength & Growth Formula - Free from Mineral Oils, Sulphates & Paraben - For All Hair Types  (300 ml)",₹455,https://www.flipkart.com/wishcare-fermented-rice-water-shampoo-strength-growth-formula-free-mineral-oils-sulphates-paraben-all-hair-types/p/itmd252f3259a187?pid=SMPFTGQJ7YNMHY64&lid=LSTSMPFTGQJ7YNMHY64CV40JW&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_506&otracker=search&otracker1=search&fm=organic&iid=5d2637f3-aa75-40d9-aa5f-b3061e3a539c.SMPFTGQJ7YNMHY64.SEARCH&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/kcf4lu80/shampoo/y/6/4/300-fermented-rice-water-shampoo-strength-growth-formula-free-original-imaftj6fhhwwfd8u.jpeg?q=70,"Damage Repair, Deep Conditioning, Daily Care, Dryness Care, Anti-hair Fall, Split-ends, Nourishment & Moisturization, Scalp Cleansing, Nourishment & Moisturization, Scalp Cleansing, Anti-dandruff, Frizz Control, Color Protection, Hair Volumizing, Hair Shine, Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Fermented Rice Water","WishCare Fermented Rice Water Shampoo is formulated to provide Strength, Growth and Natural Shine to your hair thereby controlling hair fall. It is free from all harmful chemicals such as sulphates, paraben and silicones making it safe for daily use.","Applied For	Damage Repair, Deep Conditioning, Daily Care, Dryness Care, Anti-hair Fall, Split-ends, Nourishment & Moisturization, Scalp Cleansing, Nourishment & Moisturization, Scalp Cleansing, Anti-dandruff, Frizz Control, Color Protection, Hair Volumizing, Hair Shine, Straightening & Smoothening
Hair Type	All Hair Types
Composition	Fermented Rice Water
Container Type	Dispenser
Ideal For	Men & Women
pack_of	1","Its great shampoo made up of rice water that has required essentials that our hair needs, pure genuine quality, nice smell, its been 15 days now using it, getting good results, no breakage of hair, no dandruff, getting my hair strong and long day by day. :- I just love this rice water based shampoo as it has helped me to restore the shine and smoothness of my hair. It makes good lather and has a very sweet smell. This rice water shampoo help to strengthen your hair and improves growth of your hair. :- I bought this product because of the unique concept of it being a Rice water’s shampoo. I must say its a mild shampoo with no sulphates and parabens and that helps me in getting a thick growth of my hairs!! My hairs are really gaining its original shine and strength. I liked the fact that they are trying to infuse the age old technique of using fermented rice water as growth formula. Thanks for blessing my hair, I really loved this shampoo!!!",RABIKOLIFESTYLE4.7
546,Kesh King Ayurvedic Anti-dandruff Shampoo|Dandruff Free Hair|Soothes itchy scalp  (600 ml),₹359,https://www.flipkart.com/kesh-king-ayurvedic-anti-dandruff-shampoo-dandruff-free-hair-soothes-itchy-scalp/p/itmc36317ba93fe5?pid=SMPGDJNFDVQFMYWM&lid=LSTSMPGDJNFDVQFMYWMF4WB6M&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_507&otracker=search&otracker1=search&fm=organic&iid=en_9Qq6ZXI7ykoGx%2Bn%2BvFMlapg82hNelD7GNjEfCBeOMC8THRdHg%2FXLVQiPrytZFfrMef62AwqDfmvaRs%2FKxuCc9w%3D%3D&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/c/s/t/600-anti-dandruff-ayurvedic-hairfall-expert-grap-shampoo-600ml-original-imagmfju2wfwpgwr.jpeg?q=70,"Anti-dandruff, Anti-hair Fall, Softening & Silkening Shampoo Ideal For: Women Suitable For: Normal Hair",No Description,"Applied For	Anti-dandruff, Anti-hair Fall, Softening & Silkening
Hair Type	Normal Hair
Ideal For	Women
pack_of	1",I've been using this shampoo for about 3 times now and I must say it's a good shampoo to clear out dandruff and make your hair smooth after washing. The smell is good and mild. I would suggest washing your hair twice a week with this shampoo fro better results. :- Osam :- All good,SANYURIecom4.5
547,HIMALAYA Anti-Hair Fall Bhringaraja Shampoo  (340 ml),₹197,https://www.flipkart.com/himalaya-anti-hair-fall-bhringaraja-shampoo/p/itmdfe90bd22c431?pid=SMPEUHHFRWZ35ZFD&lid=LSTSMPEUHHFRWZ35ZFDOB6IWC&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_508&otracker=search&otracker1=search&fm=organic&iid=en_9Qq6ZXI7ykoGx%2Bn%2BvFMlapg82hNelD7GNjEfCBeOMC9MHOgtSk%2FaDzoEr0%2BP%2Bc%2FvbmPSPAAxQyU4U0TSw%2F7uJA%3D%3D&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/x/l/l/340-anti-hair-fall-bhringaraja-shampoo-340ml-himalaya-original-imagnrjj3twnhv5x.jpeg?q=70,Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types,No Description,"Applied For	Anti-hair Fall
Hair Type	All Hair Types
Ideal For	Men & Women","Wow amazing shampoo thank you seller nd flipcart for your best product and super fast delivery ..and nice packaging..no issues about delivery nd packing...oh my god what a magical shampoo unbelievable ..when I came Delhi I was literally crying to see my hairfall but I tried Himalaya nd I am amazed ..thank you seller nd flipcart ..I don't know how can I thank you ..love u.. :- it is a very classy shampoo, for the people who are suffering from severe hair fall. it is a very low chemical product and you can use it daily. and I have seen its effect after few days of using it... you can daily use shampoo this is very good and the delivery was also very nice well packed.  thank you Flipkart. :- I love this product and highly recommend. I have been used it from long time I am getting good result it stop hair fall and help to grow hair. Very good product low chemical the delivery was also very nice, well pack by flipkart thank you Flipkart At Rs.175",Ezig4.8
548,Revlon Flex Body Building Protein Shampoo Dry Damaged - Pack of 2  (1184 ml),₹450,https://www.flipkart.com/revlon-flex-body-building-protein-shampoo-dry-damaged-pack-2/p/itmf3xfvhmyxtmxm?pid=SMPDYGKUYRGXMJAR&lid=LSTSMPDYGKUYRGXMJARNTQFET&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_509&otracker=search&otracker1=search&fm=organic&iid=5d2637f3-aa75-40d9-aa5f-b3061e3a539c.SMPDYGKUYRGXMJAR.SEARCH&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/shampoo/j/a/r/revlon-1184-flex-body-building-protein-shampoo-dry-damaged-pack-original-imadykey4zjxghs6.jpeg?q=70,Daily Care Shampoo Ideal For: Women Suitable For: All Hair Types Composition: Ingredients: On Tag,"Revlon protein shampoo for dry and damaged protects your hair and give you manageable, healthy looking hair. Ideal for dry hair, this shampoo treats hair that is damaged and brittle. Your hair will feel supple and moisturised, have more bounce and great body just after the first wash with revlon protein shampoo. Soon you too can show off with your hair among your friends. The moisturising shampoo contains protein in it. This key ingredient helps in preventing hair breakage. Protein penetrates deep into your hair shaft, making your hair shine and grow. This revlon shampoo will help rebuild hair structure and achieve the lost hair health.","Applied For	Daily Care
Hair Type	All Hair Types
Composition	Ingredients: On Tag
Container Type	Plastic Bottle
Ideal For	Women
pack_of	2",ordered this picture send other product :- Please dont use this product. This product will transform your hair into a loofah. I used it once and then used it twice to remove excess oil from my hair after head massage. Had to throw away more than half of the bottle. :- Nice shampoo,InstaBeauty4.8
549,"TRESemme Detox & Restore Shampoo- No Parabens, No Dyes  (580 ml)",₹598,https://www.flipkart.com/tresemme-detox-restore-shampoo-no-parabens-dyes/p/itmf6jx8mashvbtv?pid=SMPF6JX8JMVBWQSU&lid=LSTSMPF6JX8JMVBWQSULNBYSO&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&srno=s_13_510&otracker=search&otracker1=search&fm=organic&iid=5d2637f3-aa75-40d9-aa5f-b3061e3a539c.SMPF6JX8JMVBWQSU.SEARCH&ppt=None&ppn=None&ssid=3xgcdng2i80000001687456800322&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/i/p/s/-original-imagkydyyh6ftxyt.jpeg?q=70,Daily Care Shampoo Ideal For: Women Suitable For: All Hair Types Composition: Ingredients on Tag,No Description,"Applied For	Daily Care
Hair Type	All Hair Types
Composition	Ingredients on Tag
Container Type	Plastic Bottle
Ideal For	Women
pack_of	1","Genuine Review I used many shampoos like dove and also natural after listening to u tube but all increased my hair fall and was finding remedies for it. At last, I saw this shampoo and ordered it. To my great surprise my hair stop falling upto 80%. and became better. This shampoo is really good I ordered big bottle. I recommend it to you all.. I trust flipkart and TRESemme.. Thank you.. :- nice product.smell is too good. after first wash my hair feel fresh and frizz free.and less hair fall.i purchased it 185 ml at RS 87.i love it :- best product from tresemme loved it.. provides very smooth hair after 1 wash and it is very good and best product",SURICYBCOMBazaar4.7
